"",".imp","H0_g1","H1_g1","H0_g2","H1_g2","p01","p11","beta1","beta2","tau2","bias_b0CC","bias_b1CC","omv_bias_b0","omv_bias_b1"
"45",45,0.254901960784314,0.304347826086957,0.421052631578947,0.529411764705882,0.137254901960784,0.434782608695652,0.257796082247405,-0.140243465158432,0.0625334710464792,0.0562225650004119,0.0861202297026276,-0.0192491030609613,-0.0417263165731396
"46",46,0.269230769230769,0.272727272727273,0.440677966101695,0.466666666666667,0.0769230769230769,0.5,0.245076591859892,-0.0238480618286641,0.0624033058578326,0.0593257319406969,0.0768167169502384,-0.00183446629451262,-0.0100895646198194
"47",47,0.296296296296296,0.2,0.4,0.578947368421053,0.166666666666667,0.5,0.320151355717714,-0.14741250003902,0.0593059570016594,0.0637898454606666,0.0546982580791696,-0.0245687500065034,-0.0491375000130068
"48",48,0.296296296296296,0.2,0.459016393442623,0.384615384615385,0.0555555555555556,0.5,0.357378185881653,-0.150253929341549,0.0593177846360519,0.0637955728313476,0.0547017092386086,-0.00834744051897495,-0.0667795241517996
"49",49,0.296296296296296,0.2,0.431034482758621,0.5,0.111111111111111,0.5,0.20703477417136,0.0233122740595695,0.0650343237479536,0.0665637289494461,0.0563697256195208,0.0025902526732855,0.00906588435649927
"50",50,0.269230769230769,0.272727272727273,0.431034482758621,0.5,0.0769230769230769,0.545454545454545,0.281361598053235,-0.127741536708337,0.0643977238807075,0.0602032823231312,0.077642105826804,-0.00982627205448747,-0.0598509297864236
"51",51,0.24,0.333333333333333,0.45,0.428571428571429,0.08,0.416666666666667,0.268934933252554,-0.116355418797984,0.064139736851637,0.0535657353287355,0.0954415586660431,-0.00930843350383872,-0.0391729909953213
"52",52,0.24,0.333333333333333,0.421052631578947,0.529411764705882,0.1,0.5,0.27222837131289,-0.230201738055433,0.0624359649419921,0.0528974623929614,0.0945618027557283,-0.0230201738055433,-0.092080695222173
"53",53,0.296296296296296,0.2,0.459016393442623,0.384615384615385,0.111111111111111,0.35,0.16141426933689,0.051839871388474,0.0621388465077946,0.0651616335766577,0.0555248606806825,0.00575998570983044,0.0123839692761354
"54",54,0.208333333333333,0.384615384615385,0.421052631578947,0.529411764705882,0.0416666666666667,0.576923076923077,0.410962678024396,-0.274771074999736,0.0623129789924198,0.0458760620095209,0.109542402539009,-0.0114487947916557,-0.147072979246654
"55",55,0.269230769230769,0.272727272727273,0.467741935483871,0.333333333333333,0.0576923076923077,0.409090909090909,0.302057495729004,-0.0951782237414298,0.060507610119276,0.0584916196827505,0.0760321842404398,-0.00549105136969787,-0.0334454947063416
"56",56,0.24,0.333333333333333,0.421052631578947,0.529411764705882,0.06,0.583333333333333,0.24609818506636,-0.0357849844625747,0.0626536492028278,0.0529828450074047,0.0946742057211538,-0.00214709906775448,-0.0187274752020808
"57",57,0.309090909090909,0.157894736842105,0.459016393442623,0.384615384615385,0.0727272727272727,0.473684210526316,0.262511163581907,-0.0360149930579278,0.0617603195752545,0.067784219808064,0.0431986768097748,-0.00261927222239475,-0.0144404613313605
